,comentarios,repost,likes,views_reactions,views_reactions_log,red_social
24,2.0,0.0,94.0,982.0,6.889591308354466,INSTAGRAM
25,1.0,0.0,37.0,524.0,6.261491684321042,INSTAGRAM
26,22.0,0.0,683.0,40700.0,10.613983371430686,INSTAGRAM
27,8.0,0.0,471.0,7343.0,8.90150275745161,INSTAGRAM
28,8.0,0.0,186.0,2909.0,7.975564658495202,INSTAGRAM
29,0.0,0.0,72.0,910.0,6.813444599510896,INSTAGRAM
30,7.0,0.0,124.0,2382.0,7.775695749915245,INSTAGRAM
31,40.0,0.0,5225.0,40300.0,10.604106747934773,INSTAGRAM
32,6.0,0.0,128.0,3083.0,8.03365842788615,INSTAGRAM
33,8.0,0.0,150.0,4039.0,8.303752415563412,INSTAGRAM
34,17.0,0.0,251.0,1931.0,7.565793282428515,INSTAGRAM
35,2.0,0.0,103.0,2927.0,7.9817332866918855,INSTAGRAM
36,1.0,0.0,113.0,3048.0,8.022240916806537,INSTAGRAM
37,6.0,0.0,146.0,4312.0,8.369157112588834,INSTAGRAM
38,0.0,0.0,59.0,1926.0,7.563200592358071,INSTAGRAM
39,1.0,0.0,45.0,1984.0,7.592870287844818,INSTAGRAM
40,8.0,0.0,187.0,3493.0,8.158516244806831,INSTAGRAM
41,2.0,0.0,112.0,3396.0,8.130353547431238,INSTAGRAM
42,0.0,0.0,47.0,1793.0,7.491645473605133,INSTAGRAM
43,1.0,0.0,47.0,1030.0,6.937314081223682,INSTAGRAM
44,3.0,0.0,79.0,1028.0,6.93537044601511,INSTAGRAM
45,1.0,0.0,50.0,775.0,6.652863029353347,INSTAGRAM
46,3.0,0.0,85.0,1168.0,7.0630481633881725,INSTAGRAM
47,4.0,0.0,99.0,842.0,6.7357800142423265,INSTAGRAM
48,1.0,0.0,28.0,618.0,6.42648845745769,INSTAGRAM
49,0.0,0.0,47.0,687.0,6.532334292222349,INSTAGRAM
50,21.0,0.0,727.0,8551.0,9.053803514155955,INSTAGRAM
51,0.0,0.0,25.0,890.0,6.7912214627261855,INSTAGRAM
